app_id,title,description
ee6734e5-88af-4d0f-a128-1671fed6b45c,,"Automatischer Bestellabruf, Erstellung von Lieferschein und Rechnung"
ee6734e5-88af-4d0f-a128-1671fed6b45c,,"Kunden-, Lieferantenverwaltung"
ee6734e5-88af-4d0f-a128-1671fed6b45c,,Einnahmen und Ausgaben im Blick
1545c82c-ac96-4120-b214-10064238bfd8,,Display key points & Product Features of your products in an aesthetic way
1545c82c-ac96-4120-b214-10064238bfd8,,Use from the hundreds of premade icons in the app library
1545c82c-ac96-4120-b214-10064238bfd8,,Upload your own icons/brand graphics if you like
1545c82c-ac96-4120-b214-10064238bfd8,,Change the colors and styles of the display box
1545c82c-ac96-4120-b214-10064238bfd8,,Change the color of icons to fit your brand.
da77ad25-e377-4497-bfec-e8bef3dc59b6,,"Generation receipts and see details of order - time, date, product, ID, SKU."
da77ad25-e377-4497-bfec-e8bef3dc59b6,,Generation Z-Report.
da77ad25-e377-4497-bfec-e8bef3dc59b6,,Open and close cash desk in admin.panel.
da77ad25-e377-4497-bfec-e8bef3dc59b6,,Setup of store name in receipt.
da77ad25-e377-4497-bfec-e8bef3dc59b6,,Choosing type of payment (cashless / cash).
007c0e10-12ed-4dde-a7a7-79f4b2b155f4,,"Keep the money on store and issue store credit for refunds, exchanges or returns"
007c0e10-12ed-4dde-a7a7-79f4b2b155f4,,Reward & incentive your customers for purchasing using cashback functionality
007c0e10-12ed-4dde-a7a7-79f4b2b155f4,,Allow your customers to fill-up their wallet by purchasing store credit
007c0e10-12ed-4dde-a7a7-79f4b2b155f4,,"Easy migration, Bulk import existing credit using CSV import or our custom API"
007c0e10-12ed-4dde-a7a7-79f4b2b155f4,,"Works with: Shopify POS, Shopify Flow, B2B Orders and Multi-Store Syndication"
ef0b825b-76b4-4403-9823-7b48afac654e,,"14 option types: Image swatches, text boxes, dropdown, button, file uploads, etc"
ef0b825b-76b4-4403-9823-7b48afac654e,,Price Add-On: Apply extra fees to custom product options and increase revenue
ef0b825b-76b4-4403-9823-7b48afac654e,,Conditional Logic: Show or hide product options depending on previous select
ef0b825b-76b4-4403-9823-7b48afac654e,,"Edit options in cart page, Product price increase when select price add-on"
ef0b825b-76b4-4403-9823-7b48afac654e,,"Fully compatible with all Shopify discounts, integrated into your products offer"
c86a1c57-d708-437d-b21b-250bac1971f3,,Sell products with HUGE margins & enjoy MORE profits
c86a1c57-d708-437d-b21b-250bac1971f3,,"World-class email, chat & phone support to assist if you get stuck"
c86a1c57-d708-437d-b21b-250bac1971f3,,Hancrafted products with excellent quality and service
5ebc36fe-934b-4875-bcad-fb11185361e9,,"Countdown flexibility: announcement, cart, product & block."
5ebc36fe-934b-4875-bcad-fb11185361e9,,"4 timers: starting now, date to date, timed session & recurring."
5ebc36fe-934b-4875-bcad-fb11185361e9,,Straightforward: powerful countdowns without any coding.
5ebc36fe-934b-4875-bcad-fb11185361e9,,Unlimited views: maximize campaign impacts with no restrictions.
a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,,"AI Avatars:
Select from diverse avatars that match your brand’s style and voice."
a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,,"AI Personalised Content:
Easily create unique, personalised content"
a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,,"Product Recommendations:
Enhance experience with custom AI avatar suggestions."
a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,,"Analytics:
Track content performance with detailed analytics for optimisation."
a8f843b7-3228-4dd5-a2bc-d14cd5e74e02,,"Write With AI:
Effortlessly create and polish engaging content with Zeniva."
868c6da2-4454-4f0c-999f-d4d8ac126881,,Let shoppers login to your store with Korean message app KakaoTalk
868c6da2-4454-4f0c-999f-d4d8ac126881,,Let shoppers login to your store with Korean message app KakaoTalk
868c6da2-4454-4f0c-999f-d4d8ac126881,,Let shoppers login to your store with Korean message app KakaoTalk
c58ae550-67c0-405e-8c72-c5c52c190c99,,Meet minimum age requirements for age restricted products
c58ae550-67c0-405e-8c72-c5c52c190c99,,Choose when verification is required — set rules based on product tags.
c58ae550-67c0-405e-8c72-c5c52c190c99,,Automatically clear customers who meet the minimum age you choose.
c58ae550-67c0-405e-8c72-c5c52c190c99,,Satisfy customer due-diligence and privacy compliance requirements
c58ae550-67c0-405e-8c72-c5c52c190c99,,Help customers with approval by payment gateways and government authorities.
99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,,"The easiest way to import Amazon products, including high-resolution images."
99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,,Have feature to import amazon product reviews to your Shopify product pages.
99a9d5b1-fdc0-4cc1-891b-dcfe1de9c2de,,We allows you to import Amazon product reviews to your Shopify store
a2bae495-0ca1-4003-ba2c-510cb018ff3e,,Split test new prices without duplicating products
a2bae495-0ca1-4003-ba2c-510cb018ff3e,,Split test new product text descriptions using our ChatGPT integration
a2bae495-0ca1-4003-ba2c-510cb018ff3e,,Split test new product images quickly
a2bae495-0ca1-4003-ba2c-510cb018ff3e,,"Let Konvera suggest additional split tests, e.g. adding video testimonials"
566d4025-c085-4fe9-a614-340051fcc48e,,Sustainable t-shirt printing with hundreds of other products to choose from too.
566d4025-c085-4fe9-a614-340051fcc48e,,Super fast fulfilment with products printed in the seconds after being ordered.
566d4025-c085-4fe9-a614-340051fcc48e,,Same day and worldwide shipping available. All with plastic free packaging.
