pricing_plan_id,app_id,feature
289b76a7-1931-4e57-afee-90df0abc46b7,1545c82c-ac96-4120-b214-10064238bfd8,Create Unlimited Product Highlights
289b76a7-1931-4e57-afee-90df0abc46b7,1545c82c-ac96-4120-b214-10064238bfd8,Modern Icons
289b76a7-1931-4e57-afee-90df0abc46b7,1545c82c-ac96-4120-b214-10064238bfd8,Color changeable Icons
289b76a7-1931-4e57-afee-90df0abc46b7,1545c82c-ac96-4120-b214-10064238bfd8,Graphic Icons
289b76a7-1931-4e57-afee-90df0abc46b7,1545c82c-ac96-4120-b214-10064238bfd8,Country flags
289b76a7-1931-4e57-afee-90df0abc46b7,1545c82c-ac96-4120-b214-10064238bfd8,Upload your own graphics
289b76a7-1931-4e57-afee-90df0abc46b7,1545c82c-ac96-4120-b214-10064238bfd8,Unlimited Use
64ba33c2-576d-44fa-a7c1-e69f373c0acc,da77ad25-e377-4497-bfec-e8bef3dc59b6,What is included:
64ba33c2-576d-44fa-a7c1-e69f373c0acc,da77ad25-e377-4497-bfec-e8bef3dc59b6,Manual opening/closing of the cash register
64ba33c2-576d-44fa-a7c1-e69f373c0acc,da77ad25-e377-4497-bfec-e8bef3dc59b6,Generation of receipts
64ba33c2-576d-44fa-a7c1-e69f373c0acc,da77ad25-e377-4497-bfec-e8bef3dc59b6,Generation of the Z-report
a49aee8f-7dd4-497a-b165-aa9114e831e2,da77ad25-e377-4497-bfec-e8bef3dc59b6,All features from the Free plan +
a49aee8f-7dd4-497a-b165-aa9114e831e2,da77ad25-e377-4497-bfec-e8bef3dc59b6,Automatic closing/opening of the cash register
a49aee8f-7dd4-497a-b165-aa9114e831e2,da77ad25-e377-4497-bfec-e8bef3dc59b6,Customized store name in receipt
a49aee8f-7dd4-497a-b165-aa9114e831e2,da77ad25-e377-4497-bfec-e8bef3dc59b6,Multilanguage support
d57242f0-6c09-4350-9ad6-512a953a62aa,da77ad25-e377-4497-bfec-e8bef3dc59b6,All features from Free and PRO plans plus:
d57242f0-6c09-4350-9ad6-512a953a62aa,da77ad25-e377-4497-bfec-e8bef3dc59b6,- sending receipt to clients via SMS/Viber services
dcdfc1a2-33c2-4f5c-a28a-d306f61056f5,007c0e10-12ed-4dde-a7a7-79f4b2b155f4,For Basic Shopify stores
dcdfc1a2-33c2-4f5c-a28a-d306f61056f5,007c0e10-12ed-4dde-a7a7-79f4b2b155f4,Unlimited customers & credits
dcdfc1a2-33c2-4f5c-a28a-d306f61056f5,007c0e10-12ed-4dde-a7a7-79f4b2b155f4,Emails & Cashback
dcdfc1a2-33c2-4f5c-a28a-d306f61056f5,007c0e10-12ed-4dde-a7a7-79f4b2b155f4,Import & Export Functionality
dcdfc1a2-33c2-4f5c-a28a-d306f61056f5,007c0e10-12ed-4dde-a7a7-79f4b2b155f4,All Integrations
2d1c55b6-a149-4a68-8c0e-8f4930b3f7a2,007c0e10-12ed-4dde-a7a7-79f4b2b155f4,For Shopify stores
2d1c55b6-a149-4a68-8c0e-8f4930b3f7a2,007c0e10-12ed-4dde-a7a7-79f4b2b155f4,Unlimited customers & credits
2d1c55b6-a149-4a68-8c0e-8f4930b3f7a2,007c0e10-12ed-4dde-a7a7-79f4b2b155f4,Emails & Cashback
2d1c55b6-a149-4a68-8c0e-8f4930b3f7a2,007c0e10-12ed-4dde-a7a7-79f4b2b155f4,Import & Export Functionality
2d1c55b6-a149-4a68-8c0e-8f4930b3f7a2,007c0e10-12ed-4dde-a7a7-79f4b2b155f4,All Integrations
6950741d-74d8-400b-ba71-7efde56c9e64,007c0e10-12ed-4dde-a7a7-79f4b2b155f4,For Advanced Shopify stores
6950741d-74d8-400b-ba71-7efde56c9e64,007c0e10-12ed-4dde-a7a7-79f4b2b155f4,Unlimited customers & credits
